,text-3 href,text-3,story__link,story__link href,story__excerpt,timestamp--label,timestamp--time,Concatenated_Columns
0,www.dawn.com/pakistan,Pakistan,Episode between Khawaja Izhar Rao Anwar inappropriate says PSPs Raza Haroon,1284414-episode between khawaja izhar rao anwar inappropriate says psps raza haroon,"PSP leader urged Chief Minister Sindh Syed Murad Ali Shah to hear the perspective of the suspended SSP Rao Anwar
.",Published,"17 Sep, 2016","Episode between Khawaja Izhar Rao Anwar inappropriate says PSPs Raza HaroonPSP leader urged Chief Minister Sindh Syed Murad Ali Shah to hear the perspective of the suspended SSP Rao Anwar
."
1,www.dawn.com/pakistan,Pakistan,Pakistan Navy launches third Azmatclass fast attack craft,1284347-pakistan navy launches third azmat class fast attack craft,The addition of the Fast Attack CraftMissile will improve the operational capability of the Pakistan Navy.,Published,"17 Sep, 2016",Pakistan Navy launches third Azmatclass fast attack craftThe addition of the Fast Attack CraftMissile will improve the operational capability of the Pakistan Navy.
2,www.dawn.com/world,World,Brazils big party is over  now the hangover,1284344-brazils big party is over now the hangover,"Rio is a success story and when we don't get a national investor, we get an international partner",Published,"17 Sep, 2016","Brazils big party is over  now the hangoverRio is a success story and when we don't get a national investor, we get an international partner"
3,www.dawn.com/pakistan,Pakistan,Quetta shuts down to mourn the Civil Hospital victims,1284345-quetta shuts down to mourn the civil hospital victims,"Strike call given by ANP was backed by BNPMengal, BNPAwami and JUIIdeological.",Published,"17 Sep, 2016","Quetta shuts down to mourn the Civil Hospital victimsStrike call given by ANP was backed by BNPMengal, BNPAwami and JUIIdeological."
4,www.dawn.com/pakistan,Pakistan,Indian attempts to deny illegal occupation of Kashmir is a travesty of history,1284346-indian attempts to deny illegal occupation of kashmir is a travesty of history,Pakistani delegation slammed India's interference in Balochistan and termed it as an attempt to divert attention.,Updated,"18 Sep, 2016",Indian attempts to deny illegal occupation of Kashmir is a travesty of historyPakistani delegation slammed India's interference in Balochistan and termed it as an attempt to divert attention.
5,www.dawn.com/sport,Sport,Asad Shafiq credits coach Arthur for England success,1284343-asad shafiq credits coach arthur for england success,"Mickey really lifted my morale and now Im looking forward to perform well against the West Indies, says Asad.",Published,"17 Sep, 2016","Asad Shafiq credits coach Arthur for England successMickey really lifted my morale and now Im looking forward to perform well against the West Indies, says Asad."
6,www.dawn.com/sport,Sport,Davis Cup New Zealand take unassailable  lead over Pakistan,1284342-davis cup new zealand take unassailable 3 0 lead over pakistan,Pakistan produced some resistance but never seriously threatened the New Zealanders.,Published,"17 Sep, 2016",Davis Cup New Zealand take unassailable  lead over PakistanPakistan produced some resistance but never seriously threatened the New Zealanders.
7,www.dawn.com/world,World,Guantanamo prisoner says Saudi royal involved in terrorism,1284336-guantanamo prisoner says saudi royal involved in terrorism,Transcript alleges unnamed member of Saudi royal family was part of an effort to recruit an Al Qaeda bombmaker.,Published,"17 Sep, 2016",Guantanamo prisoner says Saudi royal involved in terrorismTranscript alleges unnamed member of Saudi royal family was part of an effort to recruit an Al Qaeda bombmaker.
8,www.dawn.com/world,World,First mercy killing of minor in Belgium,1284340-first mercy killing of minor in belgium,"It was an exceptional case of a child with a terminal illness, says official.",Published,"17 Sep, 2016","First mercy killing of minor in BelgiumIt was an exceptional case of a child with a terminal illness, says official."
9,www.dawn.com/world,World,Here is why a trip to Tehran will leave you in wonder,1284295-here is why a trip to tehran will leave you in wonder,I have travelled to many places but there is nothing like the Iranian capital.,Updated,"04 Dec, 2019",Here is why a trip to Tehran will leave you in wonderI have travelled to many places but there is nothing like the Iranian capital.
10,www.dawn.com/pakistan,Pakistan,Curfew in Mohmand as suicide attack death toll rises to ,1284337-curfew in mohmand as suicide attack death toll rises to 30,Security forces launched a search operation in the area following a suicide bombing in a mosque.,Published,"17 Sep, 2016",Curfew in Mohmand as suicide attack death toll rises to Security forces launched a search operation in the area following a suicide bombing in a mosque.
11,www.dawn.com/pakistan,Pakistan,Rights group urges Pakistan not to hang mentally ill man,1284333-rights group urges pakistan not to hang mentally ill man,"Pakistan must not hang man who is suffering from paranoid schizophrenia, says Justice Project Pakistan.",Published,"17 Sep, 2016","Rights group urges Pakistan not to hang mentally ill manPakistan must not hang man who is suffering from paranoid schizophrenia, says Justice Project Pakistan."
12,www.dawn.com/pakistan,Pakistan,Pakistan and US the odd couple,1284153-the odd couple,Pakistans ties with the US show no signs of improvement.,Published,"17 Sep, 2016",Pakistan and US the odd couplePakistans ties with the US show no signs of improvement.
13,www.dawn.com/world,World,Pressure on Pakistan India to ratify nuclear test ban treaty,1284286,US working with UN Security Council on resolution that can slow down a nuclear race between Pakistan and India.,Published,"17 Sep, 2016",Pressure on Pakistan India to ratify nuclear test ban treatyUS working with UN Security Council on resolution that can slow down a nuclear race between Pakistan and India.
14,www.dawn.com/pakistan,Pakistan,Electronic media turns a blind eye to Mohmand mosque attack,1284267-electronic media turns a blind eye to mohmand mosque attack,Rights activists raise Fata issues on social media.,Updated,"17 Sep, 2016",Electronic media turns a blind eye to Mohmand mosque attackRights activists raise Fata issues on social media.
15,www.dawn.com/pakistan,Pakistan,If Sri Lanka can eradicate malaria so can Pakistan,1284289-if sri lanka can eradicate malaria so can pakistan,"Bad planning, lack of political will cause the virus to spread, says PMA.",Updated,"17 Sep, 2016","If Sri Lanka can eradicate malaria so can PakistanBad planning, lack of political will cause the virus to spread, says PMA."
16,www.dawn.com/pakistan,Pakistan,SC orders analysis of all brands of packed milk,1284252-sc orders analysis of all brands of packed milk,Justice Mian Saqib Nisar instructs analysis of milk samples as the matter concerns the lives of the citizens.,Updated,"17 Sep, 2016",SC orders analysis of all brands of packed milkJustice Mian Saqib Nisar instructs analysis of milk samples as the matter concerns the lives of the citizens.
17,www.dawn.com/pakistan,Pakistan,CM Sindh approves Rsbn for police training weapons,1284196-cm sindh approves rs22bn for police training weapons,Weapons and special training of police to be given by trained professionals of the Pakistan Army and other countries.,Updated,"17 Sep, 2016",CM Sindh approves Rsbn for police training weaponsWeapons and special training of police to be given by trained professionals of the Pakistan Army and other countries.
18,www.dawn.com/world,World,EU struggles to deal with multiple first world problems,1284132-eu struggles to deal with multiple first world problems,European leaders paint a pessimistic picture of EU's future focusing on its 'existential crisis'.,Updated,"17 Sep, 2016",EU struggles to deal with multiple first world problemsEuropean leaders paint a pessimistic picture of EU's future focusing on its 'existential crisis'.
19,www.dawn.com/world,World,China eyes yearlong stays for space station astronauts,1284218-china eyes year long stays for space station astronauts,Construction on a space station will start in as early as 2017.,Updated,"17 Sep, 2016",China eyes yearlong stays for space station astronautsConstruction on a space station will start in as early as 2017.
20,www.dawn.com/world,World,Five get jail terms in France over burkini clashes,1284219-five get jail terms in france over burkini clashes,The violence last month in Sisco left five people injured.,Updated,"17 Sep, 2016",Five get jail terms in France over burkini clashesThe violence last month in Sisco left five people injured.
21,www.dawn.com/world,World,EU in critical situation after Brexit says Merkel,1284224-eu in critical situation after brexit says merkel,"27 European leaders convened to discuss EU's future and a ""roadmap"" of necessary reforms.",Updated,"17 Sep, 2016","EU in critical situation after Brexit says Merkel27 European leaders convened to discuss EU's future and a ""roadmap"" of necessary reforms."
22,www.dawn.com/world,World,UN inquiry blames Syrian military for chlorine bomb attacks,1284225-un inquiry blames syrian military for chlorine bomb attacks,"International inquiry holds two Syrian Air Force helicopter squadrons, two other military units responsible.",Updated,"17 Sep, 2016","UN inquiry blames Syrian military for chlorine bomb attacksInternational inquiry holds two Syrian Air Force helicopter squadrons, two other military units responsible."
23,www.dawn.com/world,World,US rules out working with Russian military unless Syria allows aid flows,1284237-us rules out working with russian military unless syria allows aid flows,US Secretary of State John Kerry condemns repeated and unacceptable delays of humanitarian aid.,Updated,"17 Sep, 2016",US rules out working with Russian military unless Syria allows aid flowsUS Secretary of State John Kerry condemns repeated and unacceptable delays of humanitarian aid.
24,www.dawn.com/sport,Sport,Champions League must not become elite UEFA chief,1284141-champions league must not become elite uefa chief,Newly appointed UEFA president Aleksander Ceferin says the CL should not become an exclusive club for the wealthiest.,Updated,"17 Sep, 2016",Champions League must not become elite UEFA chiefNewly appointed UEFA president Aleksander Ceferin says the CL should not become an exclusive club for the wealthiest.
25,www.dawn.com/sport,Sport,Infantino slams attempts to dent  World Cup in Russia,1284147-infantino slams attempts to dent 2018 world cup in russia,FIFA chief says he will not judge the country on the investigation which documented a statesponsored doping programme.,Updated,"17 Sep, 2016",Infantino slams attempts to dent  World Cup in RussiaFIFA chief says he will not judge the country on the investigation which documented a statesponsored doping programme.
26,www.dawn.com/sport,Sport,Azhar retained as ODI skipper for WI series,1284148-azhar retained as odi skipper for wi series,"Nothing is going to change and Azhar will continue to lead the team against the Caribbean side, says a PCB official.",Updated,"17 Sep, 2016","Azhar retained as ODI skipper for WI seriesNothing is going to change and Azhar will continue to lead the team against the Caribbean side, says a PCB official."
27,www.dawn.com/sport,Sport,Brathwaite wants WI to play exciting cricket against Pakistan,1284149-brathwaite wants wi to play exciting cricket against pakistan,"West Indies T0 skipper Carlos Brathwaite has urged the youngsters to express themselves, and play their natural game.",Updated,"17 Sep, 2016","Brathwaite wants WI to play exciting cricket against PakistanWest Indies T0 skipper Carlos Brathwaite has urged the youngsters to express themselves, and play their natural game."
28,www.dawn.com/business,Business,Deutsche Bank to fight bn demand from US authorities,1284176-deutsche bank to fight 14bn demand from us authorities,US Department of Justice has accused Deutsche Bank of misselling mortgagebacked securities.,Updated,"17 Sep, 2016",Deutsche Bank to fight bn demand from US authoritiesUS Department of Justice has accused Deutsche Bank of misselling mortgagebacked securities.
29,www.dawn.com/business,Business,Elevenyear high volume pushes index to  points,1284177-eleven year high volume pushes index to 40363 points,"Trading on Friday had a volume of 851 million shares, which is the highest since March 4, 2005.",Updated,"17 Sep, 2016","Elevenyear high volume pushes index to  pointsTrading on Friday had a volume of 851 million shares, which is the highest since March 4, 2005."
30,www.dawn.com/business,Business,FPCCI calls for implementation of GI protection law,1284178-fpcci calls for implementation of gi protection law,Expresses concern over long delay in implementation of Geographical Indication Protection Law.,Updated,"17 Sep, 2016",FPCCI calls for implementation of GI protection lawExpresses concern over long delay in implementation of Geographical Indication Protection Law.
31,www.dawn.com/business,Business,Senate committee prefers FBR to State Bank for property valuation,1284179-senate committee prefers fbr to state bank for property valuation,Amendment to empower FBR to value property prices causes intense discussion in the Senate.,Updated,"17 Sep, 2016",Senate committee prefers FBR to State Bank for property valuationAmendment to empower FBR to value property prices causes intense discussion in the Senate.
32,www.dawn.com/business,Business,Dar asks France to lift travel advisory to facilitate investors,1284180-dar asks france to lift travel advisory to facilitate investors,Dar says closer economic relations will cement bilateral ties between the two countries.,Updated,"17 Sep, 2016",Dar asks France to lift travel advisory to facilitate investorsDar says closer economic relations will cement bilateral ties between the two countries.
33,www.dawn.com/business,Business,Smallcap stocks leading PSX volumes,1284181-small cap stocks leading psx volumes,With a 20pc gain in the past 12 months PSX ahead of Asian giants China and India in Forbes ranking.,Updated,"17 Sep, 2016",Smallcap stocks leading PSX volumesWith a 20pc gain in the past 12 months PSX ahead of Asian giants China and India in Forbes ranking.
34,www.dawn.com/pakistan,Pakistan,JI seeks immediate reforms census in Fata,1284276-ji seeks immediate reforms census in fata,"Govt plan to merge Fata into KP should be initiated as soon as possible, says JI chief.",Updated,"17 Sep, 2016","JI seeks immediate reforms census in FataGovt plan to merge Fata into KP should be initiated as soon as possible, says JI chief."
