text-3 href,text-3,story__link,story__link href,story__excerpt,timestamp--label,timestamp--time,Concatenated_Columns
www.dawn.com/world,World,Brazils big party is over  now the hangover,1284344-brazils big party is over now the hangover,"Rio is a success story and when we don't get a national investor, we get an international partner",Published,"17 Sep, 2016","Brazils big party is over  now the hangoverRio is a success story and when we don't get a national investor, we get an international partner"
www.dawn.com/world,World,Guantanamo prisoner says Saudi royal involved in terrorism,1284336-guantanamo prisoner says saudi royal involved in terrorism,Transcript alleges unnamed member of Saudi royal family was part of an effort to recruit an Al Qaeda bombmaker.,Published,"17 Sep, 2016",Guantanamo prisoner says Saudi royal involved in terrorismTranscript alleges unnamed member of Saudi royal family was part of an effort to recruit an Al Qaeda bombmaker.
www.dawn.com/world,World,First mercy killing of minor in Belgium,1284340-first mercy killing of minor in belgium,"It was an exceptional case of a child with a terminal illness, says official.",Published,"17 Sep, 2016","First mercy killing of minor in BelgiumIt was an exceptional case of a child with a terminal illness, says official."
www.dawn.com/world,World,Here is why a trip to Tehran will leave you in wonder,1284295-here is why a trip to tehran will leave you in wonder,I have travelled to many places but there is nothing like the Iranian capital.,Updated,"04 Dec, 2019",Here is why a trip to Tehran will leave you in wonderI have travelled to many places but there is nothing like the Iranian capital.
www.dawn.com/world,World,Pressure on Pakistan India to ratify nuclear test ban treaty,1284286,US working with UN Security Council on resolution that can slow down a nuclear race between Pakistan and India.,Published,"17 Sep, 2016",Pressure on Pakistan India to ratify nuclear test ban treatyUS working with UN Security Council on resolution that can slow down a nuclear race between Pakistan and India.
www.dawn.com/world,World,EU struggles to deal with multiple first world problems,1284132-eu struggles to deal with multiple first world problems,European leaders paint a pessimistic picture of EU's future focusing on its 'existential crisis'.,Updated,"17 Sep, 2016",EU struggles to deal with multiple first world problemsEuropean leaders paint a pessimistic picture of EU's future focusing on its 'existential crisis'.
www.dawn.com/world,World,China eyes yearlong stays for space station astronauts,1284218-china eyes year long stays for space station astronauts,Construction on a space station will start in as early as 2017.,Updated,"17 Sep, 2016",China eyes yearlong stays for space station astronautsConstruction on a space station will start in as early as 2017.
www.dawn.com/world,World,Five get jail terms in France over burkini clashes,1284219-five get jail terms in france over burkini clashes,The violence last month in Sisco left five people injured.,Updated,"17 Sep, 2016",Five get jail terms in France over burkini clashesThe violence last month in Sisco left five people injured.
www.dawn.com/world,World,EU in critical situation after Brexit says Merkel,1284224-eu in critical situation after brexit says merkel,"27 European leaders convened to discuss EU's future and a ""roadmap"" of necessary reforms.",Updated,"17 Sep, 2016","EU in critical situation after Brexit says Merkel27 European leaders convened to discuss EU's future and a ""roadmap"" of necessary reforms."
www.dawn.com/world,World,UN inquiry blames Syrian military for chlorine bomb attacks,1284225-un inquiry blames syrian military for chlorine bomb attacks,"International inquiry holds two Syrian Air Force helicopter squadrons, two other military units responsible.",Updated,"17 Sep, 2016","UN inquiry blames Syrian military for chlorine bomb attacksInternational inquiry holds two Syrian Air Force helicopter squadrons, two other military units responsible."
www.dawn.com/world,World,US rules out working with Russian military unless Syria allows aid flows,1284237-us rules out working with russian military unless syria allows aid flows,US Secretary of State John Kerry condemns repeated and unacceptable delays of humanitarian aid.,Updated,"17 Sep, 2016",US rules out working with Russian military unless Syria allows aid flowsUS Secretary of State John Kerry condemns repeated and unacceptable delays of humanitarian aid.
www.dawn.com/world,World,US to pay families of hostage drone victims,1284308-us to pay families of hostage drone victims,Both aid workers were killed by a US drone strike in 2015 while in Al Qaedas custody.,Updated,"17 Sep, 2016",US to pay families of hostage drone victimsBoth aid workers were killed by a US drone strike in 2015 while in Al Qaedas custody.
www.dawn.com/world,World,Bid to ease Hekmatyar into Kabul politics,1284311-bid to ease hekmatyar into kabul politics,It would be Hekmatyars second overt homecoming to Kabul.,Updated,"17 Sep, 2016",Bid to ease Hekmatyar into Kabul politicsIt would be Hekmatyars second overt homecoming to Kabul.
www.dawn.com/world,World,US media groups sue FBI over hack of San Bernardino shooters iPhone,1284212-us media groups sue fbi over hack of san bernardino shooters iphone,They want FBI to release details of how it hacked the iPhone of the man who shot and killed 14 people in San Bernardino.,Published,"17 Sep, 2016",US media groups sue FBI over hack of San Bernardino shooters iPhoneThey want FBI to release details of how it hacked the iPhone of the man who shot and killed 14 people in San Bernardino.
www.dawn.com/world,World,At least  dead in Thailand river boat collision,1284584-at least 13 dead in thailand river boat collision,Accident happened near the ancient city of Ayutthaya no foreigners are believed to be among the dead.,Published,"18 Sep, 2016",At least  dead in Thailand river boat collisionAccident happened near the ancient city of Ayutthaya no foreigners are believed to be among the dead.
www.dawn.com/world,World,Iran must stand strong against US on regional conflicts Khamenei,1284559-iran must stand strong against us on regional conflicts khamenei,Khamenei stresses that military power and intimidation are the most effective means to keep foreign threats at bay.,Updated,"18 Sep, 2016",Iran must stand strong against US on regional conflicts KhameneiKhamenei stresses that military power and intimidation are the most effective means to keep foreign threats at bay.
www.dawn.com/world,World,Somali general killed in suicide car bomb attack claimed by Shabaab militant group,1284558-somali general killed in suicide car bomb attack claimed by shabaab militant group,"General Mohamed Roble Jimale Gobale was killed in the attack in Mogadishu, claimed by the AlQaeda linked Shabaab.",Updated,"18 Sep, 2016","Somali general killed in suicide car bomb attack claimed by Shabaab militant groupGeneral Mohamed Roble Jimale Gobale was killed in the attack in Mogadishu, claimed by the AlQaeda linked Shabaab."
www.dawn.com/world,World,Attack on Indian army base in occupied Kashmir as it happened,1284556-attack on indian army base in occupied kashmir as it happened,"Residents of Uri town saw smoke billowing from the nearby army base after dawn, heard continuous rounds of heavy gunfire",Updated,"18 Sep, 2016","Attack on Indian army base in occupied Kashmir as it happenedResidents of Uri town saw smoke billowing from the nearby army base after dawn, heard continuous rounds of heavy gunfire"
www.dawn.com/world,World,Two Saudi policemen shot dead in mainly Shia city,1284551-two saudi policemen shot dead in mainly shia city,The two officers were patrolling in a police car when they came under fire at around 1130 pm in Dammam.,Published,"18 Sep, 2016",Two Saudi policemen shot dead in mainly Shia cityThe two officers were patrolling in a police car when they came under fire at around 1130 pm in Dammam.
